PCV_percent_cntr, Hbdiv10_cntr, TPPcntr, Log10HLAllOlyas_cntr, SMIcntr, Muscntr, Fatcntr
-0.66           , -1.20       , 0.0000 , -0.048820           , -0.5454, 0.26   , -1.15
-0.16           , 0.00        , 0.6000 , -0.206602           , -0.0154, 0.26   , -0.15
-3.16           , -1.60       , 0.4000 , 0.239621            , 0.6246 , -0.74  , 1.85
-0.16           , 0.10        , 0.0000 , -0.263829           , 0.0346 , 0.26   , 0.85
1.84            , 0.40        , -0.2000, 0.297613            , -0.2454, 0.26   , 0.35
-6.16           , -2.30       , 1.4000 , 0.222436            , 1.6846 , -0.24  , -0.15
-2.16           , 1.00        , 0.0000 , 0.077888            , 0.9846 , 0.26   , 0.85
1.84            , -0.40       , -0.6000, 0.282928            , -0.1454, 0.26   , 0.85
-1.16           , -0.10       , -0.4000, -0.336380           , 0.1146 , 0.26   , -1.15
-3.16           , -0.30       , 0.0000 , 0.147791            , -0.3854, 0.76   , 1.35
-4.16           , -2.20       , 0.8000 , 0.901921            , -1.2154, -0.74  , 0.85
-5.66           , -2.00       , 0.8000 , 0.678675            , 1.1846 , -0.74  , 0.85
-0.16           , 1.40        , -0.6000, -0.094269           , -0.3554, 0.26   , -0.15
5.84            , 2.60        , 0.4000 , -0.087738           , -0.2354, -0.24  , 0.35
1.84            , 2.00        , 0.0000 , -0.426556           , -0.2354, 0.26   , 1.85
-4.16           , -0.20       , 1.6000 , -0.540035           , 0.9546 , 0.76   , 1.85
3.84            , 1.20        , -0.6000, 0.335699            , 0.6246 , 0.26   , 0.85
-0.16           , 0.70        , -0.2000, 0.143656            , -0.4754, -0.24  , 0.85
-1.16           , -0.80       , 0.4000 , -0.405581           , -0.0054, 0.26   , -0.15
-0.16           , 1.00        , -1.3000, 0.371360            , -0.1754, 0.26   , 0.85
-0.16           , -1.30       , 0.7000 , 0.353471            , -0.2854, -0.74  , 1.85
0.84            , -0.20       , -0.7000, 0.328012            , -0.6954, -0.24  , -1.15
-2.16           , -1.70       , -0.2000, 0.019027            , 1.1246 , 0.26   , -0.15
-0.16           , 1.20        , -0.4000, -0.196882           , -0.4254, -0.24  , -1.15
-7.16           , -3.40       , -0.2000, 0.713895            , -0.8554, -0.24  , -0.15
1.84            , 1.40        , -0.7000, -0.652009           , 0.6246 , 0.26   , -1.15
-0.16           , -2.80       , -0.5000, -0.081107           , 2.6546 , -0.24  , 0.85
3.84            , 1.50        , -1.0000, 0.534844            , -0.3454, -0.24  , 0.35
-2.16           , 0.90        , 1.4000 , -0.252091           , -0.8254, 0.26   , -1.15
4.84            , 1.40        , 0.0000 , -0.017847           , -0.3254, -0.74  , 0.35
1.84            , 2.60        , 0.0000 , 0.018066            , 1.1546 , 0.26   , 0.35
-0.16           , 1.10        , -0.8000, -0.087738           , -0.3054, 0.26   , -1.15
3.84            , 0.90        , 0.2000 , -0.726227           , -0.1154, -0.24  , -0.15
4.84            , 3.20        , -0.1000, 1.162682            , -0.5154, -0.24  , -0.65
-2.16           , 0.10        , -0.3000, -0.287310           , 0.6246 , 0.76   , 1.35
-4.16           , -2.00       , 0.2000 , 0.090886            , 0.1746 , -0.24  , 1.35
-3.16           , 0.90        , 0.0000 , 0.300442            , 0.3846 , -0.24  , 1.85
-1.16           , -1.10       , -0.5000, -0.240966           , -0.3054, -0.74  , 1.35
-3.66           , -0.10       , 0.2000 , 0.356383            , 0.8546 , 0.26   , 0.85
-1.16           , 0.60        , 0.1000 , -0.055553           , -0.4954, -0.24  , -0.15
2.84            , 1.20        , 1.5000 , 0.126142            , 1.2846 , 0.76   , 1.35
-0.16           , 0.30        , -0.2000, -0.362116           , 0.2346 , 0.26   , -1.15
3.84            , 0.30        , -0.2000, 0.815352            , -0.3854, -0.24  , -1.15
-0.16           , -1.40       , -1.1000, -0.429062           , -0.5154, 0.26   , -2.15
-2.66           , -2.10       , -0.5000, -0.575078           , 0.0346 , 0.26   , -0.15
-4.16           , -1.20       , 3.9000 , -0.383305           , 1.2246 , 0.26   , 1.35
1.84            , 1.00        , 0.0000 , -0.506867           , -0.1754, 0.26   , 0.35
-0.16           , 1.50        , -0.6000, 0.037201            , -0.1554, -0.24  , -0.15
-3.16           , -0.70       , 0.2000 , 0.300442            , 1.9546 , 0.26   , 1.85
-0.16           , -1.00       , -1.0000, -0.416439           , 0.2346 , -0.24  , 0.35
6.84            , 0.80        , 0.9000 , 0.090886            , -0.2654, -0.24  , 0.85
2.84            , 0.00        , -0.5000, -0.496402           , -0.7454, -0.74  , -2.15
2.84            , 0.60        , -1.1000, -0.196882           , 0.0346 , 1.26   , -0.15
-5.66           , -2.60       , 3.9000 , 0.382084            , 1.4746 , 0.26   , -1.15
1.34            , 1.70        , -0.1000, 0.124351            , -0.9754, -0.74  , -0.15
2.84            , 1.20        , 0.8000 , -0.287310           , 0.2746 , -0.24  , -0.15
1.84            , 1.40        , -0.5000, 0.073113            , -0.1754, 0.26   , -2.15
-6.16           , -3.80       , 1.2000 , 0.049100            , 0.7446 , -0.74  , -2.15
-2.16           , -1.30       , 0.3000 , 0.444431            , -1.0954, -0.74  , -0.15
1.34            , 0.20        , 0.2000 , 0.645251            , 0.4646 , 0.26   , -2.15
-8.16           , -2.30       , -0.4000, -0.087738           , 0.8846 , -0.24  , 0.85
-3.16           , -0.60       , 0.0000 , -0.114067           , -0.4754, -0.24  , -1.15
-2.16           , -1.70       , -0.5000, -0.416439           , 0.1046 , 0.76   , 1.35
-3.16           , -0.10       , 0.0000 , 0.161114            , 2.0146 , -0.24  , 1.35
1.84            , 0.90        , -0.6000, -0.196882           , 0.5546 , 0.26   , -0.15
1.84            , 1.80        , -0.9000, -0.094269           , 0.3146 , 0.26   , -0.65
2.84            , 0.90        , -0.9000, 0.195918            , 0.1546 , 0.26   , -0.15
-1.16           , 0.10        , 0.0000 , -0.612284           , 0.4846 , 0.26   , -2.15
1.84            , 1.30        , -0.3000, -0.311471           , -0.7554, 0.76   , 0.35
4.84            , 2.50        , -0.2000, -0.246100           , -0.4854, -0.24  , -0.15
0.34            , 0.40        , -0.9000, -0.175568           , 0.7246 , 0.26   , -2.15
-7.16           , -1.90       , -0.1000, -0.694705           , 0.4246 , -0.24  , -0.15
-1.16           , 0.70        , -0.8000, -0.343010           , -0.5154, 0.26   , 0.35
1.84            , 1.40        , -0.6000, 0.126142            , 0.4746 , 0.26   , -1.65
1.84            , 0.60        , -1.2000, -0.281558           , 0.3646 , 0.26   , -2.15
-6.66           , -1.80       , 0.2000 , -0.416439           , 0.4846 , -0.24  , 1.35
10.84           , 3.50        , -0.2000, -0.506867           , 0.0446 , 0.26   , -0.15
-4.16           , -1.40       , -0.8000, -0.311471           , -0.0654, -0.24  , -2.15
0.84            , -1.30       , 1.5000 , 0.177820            , 0.9846 , 0.26   , 0.35
-2.16           , -0.10       , 0.9000 , 0.389383            , -0.1054, 0.26   , 1.85
0.84            , 1.00        , -0.4000, -0.206602           , -1.0254, -0.74  , -0.15
2.34            , 1.40        , -0.3000, 0.018066            , -0.5654, 0.26   , -0.65
1.84            , -0.40       , 0.2000 , -0.218667           , -1.2354, 0.26   , -1.15
-2.16           , -1.50       , -0.6000, 0.371360            , 0.6246 , 0.26   , -0.15
0.84            , -1.50       , -0.1000, 0.444431            , -1.3654, 0.26   , -2.15
0.84            , -2.10       , -0.1000, -0.036585           , -0.9754, -0.74  , -1.15
-4.16           , -1.70       , 0.4000 , 0.300442            , -1.5554, -0.74  , 1.35
1.84            , 0.10        , 0.4000 , -0.154685           , -0.1154, -0.74  , 0.85
0.84            , 0.80        , -0.2000, 0.073113            , -1.6154, 0.26   , 1.35
5.84            , 1.80        , 0.0000 , -0.196882           , -0.0554, 0.26   , 1.35
-2.16           , -0.30       , -0.5000, -0.055553           , -0.7254, 0.26   , -1.15
-1.16           , -0.30       , -0.5000, 0.073113            , -0.6154, 0.26   , 0.85
-1.66           , 0.80        , 1.2000 , 0.000684            , 0.0846 , 0.26   , 1.85
0.84            , -0.10       , 0.1000 , -0.416439           , -0.0254, -0.24  , 0.85
1.84            , -0.90       , 1.4000 , -0.411044           , 0.3146 , -0.24  , -2.15
-0.16           , -0.70       , 0.1000 , -0.196882           , 0.1746 , 0.26   , -0.15
2.84            , 1.00        , -0.4000, 0.195918            , -0.1754, 0.26   , -1.15
5.84            , 2.20        , -0.5000, -0.123650           , -0.0254, -0.74  , -0.15
8.84            , 3.50        , 0.4000 , -0.122500           , -0.5954, 0.26   , -1.15
-1.16           , 0.70        , -0.9000, 0.666611            , -0.9854, -0.24  , -2.15
1.34            , 2.80        , -0.6000, 0.230666            , -0.7854, -0.74  , -1.15
-0.16           , -2.10       , -0.4000, 0.230666            , -0.4754, -0.24  , 0.85
1.84            , 2.10        , 0.2000 , 0.738055            , -0.6954, 0.26   , 0.85
-0.16           , -0.50       , 1.2000 , 0.108557            , 0.6446 , 0.26   , 1.85
3.84            , -0.40       , -0.3000, 0.143656            , -0.8954, -0.74  , 0.85
3.84            , -0.80       , -0.4000, 0.143656            , 0.0446 , 0.26   , 0.35
-2.16           , -0.20       , -0.4000, 0.149175            , -1.0354, 0.26   , -2.15
-2.16           , -0.30       , -0.5000, 0.292473            , -0.6854, -0.24  , 1.35
