ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Ageminyears,Agecat,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,TPP,TPPcntr,TPPcntr2,HL_original,Log10HL_original,Log10HL_original_cntr,Log10HL_original_cntr2,HLAllOlyas,Log10HLAllOlyas,Log10HLAllOlyas_cntr,Log10HLAllOlyas_cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,PC3,PC3sq,BinomialFledged
1,026-25490,4(2009-10),31-Dec-09,5:04,6:14,70,0,F,pre,6,A1Y,0.41,-0.070429,0.00496,41,-7,49,142,-34,1156,14.2,-3.4,11.56,4.8,-0.1479,0.021862,3.166667,0.500602,0.721164,0.520078,3.166667,0.500602,0.705974,0.4984,9.24,-0.8717,0.7599,1.5,-0.25,0.0607,2,0.06,0.0041,-1.92338,3.69939,2.856934,8.162072,-1.099001,1.207803,0
2,026-25491,3(2008-09),13-May-09,5:52,7:16,84,1,M,post,5,A1Y,0.47,-0.010429,0.000109,47,-1,1,180,4,16,18,0.4,0.16,5.1,0.1521,0.023147,0.126582,-0.897627,-0.677065,0.458418,0.098901,-1.004799,-0.799427,0.639083,10.69,0.5787,0.3349,0,-1.75,3.05,2,0.06,0.0041,-1.170837,1.370859,0.063763,0.004066,0.527451,0.278204,0
3,026-25512,3(2008-09),27-Apr-09,5:47,6:30,43,1,M,N,5,A1Y,0.5,0.019571,0.000383,50,2,4,190,14,196,19,1.4,1.96,4.3,-0.6479,0.419719,0.170732,-0.767686,-0.547124,0.299345,0.136364,-0.865301,-0.659929,0.435507,10.72,0.6143,0.3773,2,0.25,0.0643,1,-0.94,0.8756,1.167644,1.363393,-1.845509,3.405902,-0.807641,0.652284,1
4,026-25512,4(2009-10),29-Apr-10,5:48,10:43,295,1,M,post,6,A1Y,0.49,0.009571,0.000092,49,1,1,188,12,144,18.8,1.2,1.44,4.4,-0.5479,0.300147,0.851852,-0.069636,0.150926,0.022779,0.851852,-0.069636,0.135736,0.018424,11.05,0.9387,0.8812,2,0.25,0.0643,1,-0.94,0.8756,0.743153,0.552276,-0.740864,0.54888,-0.30092,0.090553,1
6,026-25513,3(2008-09),13-Mar-09,6:38,11:17,279,0,F,L,5,A1Y,0.48,-0.000429,0,48,0,0,148,-28,784,14.8,-2.8,7.84,4.5,-0.4479,0.200576,0.507692,-0.294399,-0.073838,0.005452,0.507692,-0.294399,-0.089027,0.007926,12.75,2.6429,6.9847,1.5,-0.25,0.0607,3,1.06,1.1327,-2.358087,5.560575,-1.302792,1.697267,0.000239,0,1
7,026-25517,3(2008-09),19-Feb-09,6:31,10:42,251,1,M,I,5,A1Y,0.52,0.039571,0.001566,52,4,16,191,15,225,19.1,1.5,2.25,4,-0.9479,0.898433,2.096774,0.321552,0.542113,0.293887,2.096774,0.321552,0.526924,0.277649,9.75,-0.3607,0.1301,1.5,-0.25,0.0607,2.5,0.56,0.3184,1.604464,2.574304,1.204366,1.450497,1.168295,1.364913,1
8,026-25520,3(2008-09),13-Mar-09,6:38,10:25,227,1,M,L,5,A1Y,0.46,-0.020429,0.000417,46,-2,4,185,9,81,18.5,0.9,0.81,6.4,1.4521,2.108719,0.342466,-0.465383,-0.244821,0.059937,0.342466,-0.465383,-0.260011,0.067606,9.27,-0.838,0.7023,2,0.25,0.0643,1,-0.94,0.8756,-0.106066,0.01125,-0.46302,0.214387,-0.276062,0.07621,1
9,026-29138,3(2008-09),9-Apr-09,5:43,5:35,-8,0,F,N,5,A1Y,0.53,0.049571,0.002457,53,5,25,190,14,196,19,1.4,1.96,5,0.0521,0.002719,0.616667,-0.20995,0.010612,0.000113,0.587302,-0.231139,-0.025767,0.000664,9.77,-0.3449,0.119,1,-0.75,0.5572,2.5,0.56,0.3184,0.943119,0.889474,0.526031,0.276709,1.552991,2.411781,1
10,026-29138,4(2009-10),23-Jan-10,5:18,9:00,222,0,F,I,6,A1Y,0.46,-0.020429,0.000417,46,-2,4,171,-5,25,17.1,-0.5,0.25,4.8,-0.1479,0.021862,2.846154,0.454258,0.67482,0.455382,2.846154,0.454258,0.65963,0.435112,10.63,0.5229,0.2734,1,-0.75,0.5572,3,1.06,1.1327,-1.231956,1.517716,1.630724,2.659261,1.13903,1.297388,1
12,026-29342,3(2008-09),25-Mar-09,6:40,8:31,111,1,M,I,5,A1Y,0.5,0.019571,0.000383,50,2,4,202,26,676,20.2,2.6,6.76,5,0.0521,0.002719,0.637931,-0.195226,0.025335,0.000642,0.637931,-0.195226,0.010146,0.000103,11.25,1.1355,1.2893,2,0.25,0.0643,2.5,0.56,0.3184,0.612191,0.374777,-1.550999,2.405599,1.227769,1.507418,0
