PCV_percent_cntr,Hbdiv10cntr,TPPcntr,Log10HLAllOlyas_cntr,SMIcntr,Musclecntr,Fatcntr
-7,-3.4,-0.1479,0.705974,-0.8717,-0.25,0.06
-1,0.4,0.1521,-0.799427,0.5787,-1.75,0.06
2,1.4,-0.6479,-0.659929,0.6143,0.25,-0.94
1,1.2,-0.5479,0.135736,0.9387,0.25,-0.94
0,-2.8,-0.4479,-0.089027,2.6429,-0.25,1.06
4,1.5,-0.9479,0.526924,-0.3607,-0.25,0.56
-2,0.9,1.4521,-0.260011,-0.838,0.25,-0.94
5,1.4,0.0521,-0.025767,-0.3449,-0.75,0.56
-2,-0.5,-0.1479,0.65963,0.5229,-0.75,1.06
2,2.6,0.0521,0.010146,1.1355,0.25,0.56
2,1.7,-0.1479,0.65963,-0.2578,0.25,0.06
0,1.1,-0.7479,-0.095658,-0.3221,0.25,-0.94
4,0.9,0.2521,-0.734147,-0.1259,-0.25,0.06
5,3.2,-0.0479,1.154762,-0.5278,-0.25,-0.44
1,-0.6,-0.5479,-0.226587,0.1183,-0.75,0.06
-4,-2,0.2521,0.082966,0.1565,-0.25,1.56
-3,0.9,0.0521,0.292522,0.3706,-0.25,2.06
-1,-1.1,-0.4479,-0.248886,-0.3221,-0.75,1.56
-3.5,-0.1,0.2521,0.348463,0.8388,0.25,1.06
-1,1.4,-0.5479,0.474217,-0.316,0.25,-1.94
-1,0.6,0.1521,-0.063473,-0.5139,-0.25,0.06
-0.5,-1.2,0.0521,-0.05674,-0.5563,0.25,-0.94
-1.5,-1.6,-0.1479,0.082966,-0.9367,0.25,-1.94
-3,-2.3,0.2521,-1.073382,1.5293,-0.25,-0.94
0,0.4,-0.1479,-0.483257,0.5341,0.25,0.06
-3,-1.6,0.4521,0.231701,0.6143,-0.75,2.06
0,0.1,0.0521,-0.271749,0.0234,0.25,1.06
2,0.4,-0.1479,0.289693,-0.2632,0.25,0.56
1,-0.4,-0.1479,0.594232,-0.6558,0.25,-1.94
-6,-2.3,1.4521,0.214515,1.6742,-0.25,0.06
-2,1,0.0521,0.069968,0.9706,0.25,1.06
2,-0.4,-0.5479,0.275008,-0.1582,0.25,1.06
-1,-0.1,-0.3479,-0.3443,0.0973,0.25,-0.94
0,0,-0.1479,0.863913,0.0199,-0.25,-0.94
-3,-0.3,0.0521,0.13987,-0.4019,0.75,1.56
-4,-2.2,0.8521,0.894001,-1.2265,-0.75,1.06
-5.5,-2,0.8521,0.670755,1.1726,-0.75,1.06
0,1.4,-0.5479,-0.102189,-0.3696,0.25,0.06
6,2.6,0.4521,-0.095658,-0.2462,-0.25,0.56
6,3,0.5521,-0.162605,0.2166,0.25,-1.94
2,2,0.0521,-0.434477,-0.2462,0.25,2.06
-4,-0.2,1.6521,-0.547956,0.9358,0.75,2.06
4,1.2,-0.5479,0.327778,0.61,0.25,1.06
0,0.7,-0.1479,0.135736,-0.486,-0.25,1.06
-1,-0.8,0.4521,-0.413501,-0.0192,0.25,0.06
1,-1.6,-0.3479,-0.204802,-0.2462,0.25,0.06
0,1,-1.2479,0.36344,-0.1878,0.25,1.06
0,-1.3,0.7521,0.345551,-0.2988,-0.75,2.06
-2,0.1,1.8521,0.118222,1.0741,0.25,0.06
1,-0.2,-0.6479,0.320092,-0.7117,-0.25,-0.94
-1,0.6,-0.5479,0.029281,-0.6128,-0.75,0.06
-0.5,-0.2,-0.8479,-0.044505,0.1877,1.25,-0.94
0,1.2,-0.3479,-0.204802,-0.4435,-0.25,-0.94
0,0.3,-0.1479,-0.370036,0.2166,0.25,-0.94
4,0.3,-0.1479,0.807432,-0.3989,-0.25,-0.94
-3,-0.7,0.2521,-0.007236,-0.4409,-0.75,1.56
0,-1.4,-1.0479,-0.436983,-0.5279,0.25,-1.94
1,0.7,0.2521,0.161467,-0.2171,0.25,0.06
-2.5,-2.1,-0.4479,-0.582998,0.015,0.25,0.06
-5,-0.4,-0.1479,-0.063473,-0.8481,0.25,0.06
-4,-1.2,3.9521,-0.391225,1.2101,0.25,1.56
2,1,0.0521,-0.514787,-0.1895,0.25,0.56
0,1.5,-0.5479,0.029281,-0.1688,-0.25,0.06
0,-1,-0.9479,-0.424359,0.2243,-0.25,0.56
2,0.1,-0.5479,0.047304,0.0293,0.25,0.06
7,0.8,0.9521,0.082966,-0.2806,-0.25,1.06
2,1.9,0.1521,0.205372,-0.526,-0.25,1.56
-3,-1.6,-0.9479,-0.102189,0.1248,1.25,0.06
3,0,-0.4479,-0.504322,-0.7553,-0.75,-1.94
4,2.4,-0.3479,-0.121987,-0.0784,0.25,-0.44
3,0.6,-1.0479,-0.204802,0.0234,1.25,0.06
1.5,-0.1,0.1521,-0.335732,-0.4792,0.25,-0.94
0,-0.5,-0.8479,0.187998,0.3916,-0.75,-0.94
3,1.2,0.8521,-0.29523,0.2642,-0.25,0.06
2,1.4,-0.4479,0.065193,-0.1944,0.25,-1.94
-6,-3.8,1.2521,0.04118,0.7294,-0.75,-1.94
-2,0.2,-0.1479,0.637331,-0.3324,0.25,-0.94
1.5,0.2,0.2521,0.637331,0.4499,0.25,-1.94
-8,-2.5,1.0521,0.214515,0.4288,-0.75,0.56
-6,-2.9,0.2521,0.240134,-0.1084,0.25,-0.94
-3,-0.6,0.0521,-0.121987,-0.4854,-0.25,-0.94
-2,-1.7,-0.4479,-0.424359,0.0884,0.75,1.56
-3,-0.1,0.0521,0.153194,2.0039,-0.25,1.56
2,0.9,-0.5479,-0.204802,0.5384,0.25,0.06
2,1.8,-0.8479,-0.102189,0.3019,0.25,-0.44
3,0.9,-0.8479,0.187998,0.1403,0.25,0.06
-1,0.1,0.0521,-0.620204,0.4704,0.25,-1.94
2,1.3,-0.2479,-0.319391,-0.7713,0.75,0.56
5,2.5,-0.1479,-0.25402,-0.499,-0.25,0.06
-1,0,0.4521,0.292522,-0.3696,-0.25,0.06
0.5,0.4,-0.8479,-0.183488,0.7118,0.25,-1.94
-7,-1.9,-0.0479,-0.702625,0.4133,-0.25,0.06
-10,-3.6,1.0521,0.399637,1.7615,-0.25,1.56
-4,-0.7,-0.0479,-0.3443,-0.3862,0.25,-1.94
2,1.4,-0.5479,0.118222,0.4611,0.25,-1.44
-0.5,0.5,-0.3479,0.029281,-0.526,-0.75,-0.94
6,1.2,-0.4479,-0.547956,-0.3402,-0.25,0.56
2,0.6,-1.1479,-0.289478,0.3521,0.25,-1.94
2,1.8,-0.7479,0.082966,-0.0489,0.75,-0.94
-6.5,-1.8,0.2521,-0.424359,0.4656,-0.25,1.56
-5.5,-1,2.7521,0.118222,2.4308,0.25,0.06
