PCV_percent_cntr,Hbdiv10cntr,SMIcntr,Muscntr,Fatcntr
0.72,1.20,1.0309,0.29,-0.78
-1.28,0.80,-0.0247,-0.21,-0.78
-4.28,-2.00,-1.7787,-0.71,1.72
1.72,0.50,-0.0930,-0.71,-0.78
-2.28,-0.90,0.8239,0.79,1.22
3.72,1.80,-0.2366,-0.71,0.22
1.72,-0.10,-0.7855,0.79,-0.28
3.72,1.20,-0.5317,-0.21,0.72
1.22,-0.40,-1.0293,0.79,-1.28
-0.28,-1.20,1.5620,0.79,1.22
-4.28,-0.60,-0.5035,0.29,0.22
0.72,-0.60,0.5897,0.79,1.22
-0.28,-1.30,0.5897,-0.21,-0.28
-0.28,1.10,0.7168,0.29,-0.28
-8.28,-3.10,2.1575,-0.71,0.72
0.72,0.70,-0.1169,-0.21,0.72
1.72,2.90,1.2596,-0.21,0.22
0.72,0.20,0.2414,0.79,-0.28
3.72,0.90,1.2258,-0.21,-0.28
3.72,1.80,0.4158,0.29,-2.28
-3.28,-2.40,-0.2999,0.79,1.72
-0.28,0.90,0.4947,0.79,0.22
-0.28,-0.70,0.4017,0.29,0.72
-0.28,-0.70,-0.3884,-0.21,-1.28
0.72,-1.30,-1.1396,-0.21,-0.28
-2.28,0.40,-0.4750,-0.21,-1.28
3.72,1.30,-0.6971,0.29,0.72
-6.28,-1.90,0.8591,-0.21,0.72
1.72,1.40,-0.9833,0.29,-0.78
1.22,-0.70,1.9919,0.29,0.72
-0.28,-0.70,0.9629,0.79,0.22
0.72,0.10,-0.0044,-0.21,-1.28
-0.28,-0.40,0.6985,-0.71,-0.78
2.72,0.60,-0.0044,-0.21,0.22
-1.28,-0.80,-0.1979,-1.21,1.22
-0.78,0.40,-0.5720,-0.71,0.72
-2.78,0.30,0.3711,0.29,-1.28
3.72,0.70,0.6718,-0.21,-0.78
-1.28,1.70,-0.1919,-0.21,-2.28
-1.28,-1.50,-1.8522,-0.21,1.22
-1.28,0.90,-0.3898,-0.71,-0.28
-1.28,0.50,0.0256,0.29,0.22
1.22,0.90,-0.7139,0.79,0.72
1.72,0.10,-0.1797,-0.21,-0.28
-0.78,-1.50,1.2269,0.79,1.72
1.72,0.30,0.5578,-0.21,-0.28
1.72,-0.60,-0.5876,0.29,0.22
1.72,-0.20,-0.0930,0.29,-0.28
-1.28,0.70,0.9918,-0.21,0.72
1.72,1.60,-0.6312,0.29,0.22
-2.28,-0.70,0.8643,0.29,0.72
-3.28,-1.80,0.2489,0.29,1.72
0.72,1.00,-0.3884,-0.21,-1.28
-6.28,-2.50,-1.2927,-1.21,-0.78
4.72,2.00,-0.8844,-0.21,-0.28
-1.28,-0.10,-0.3884,0.29,-0.28
1.72,0.70,-0.1391,-0.21,0.22
3.72,1.80,0.1475,-0.21,0.22
6.72,0.40,-1.6990,-0.71,-0.28
-4.78,-2.40,-0.0044,-0.21,0.22
-0.28,-0.80,-1.0424,0.29,0.72
-9.28,-3.70,1.1934,0.79,1.22
0.72,0.50,0.0557,0.29,-0.28
0.22,-1.60,1.2269,0.79,1.22
1.22,-0.20,-0.1979,0.79,1.72
1.22,0.00,-0.4175,0.29,-0.28
2.72,0.60,-0.4750,0.29,-0.28
3.72,1.90,-0.5751,0.29,-0.78
-2.28,-2.20,0.3819,-0.21,0.72
-4.28,-1.50,-0.5476,0.79,-0.28
1.72,-0.30,-2.3391,-0.71,-1.78
-2.28,-0.90,-0.0654,0.79,0.22
3.22,0.00,0.0861,0.79,-1.28
2.72,0.70,0.3711,0.79,0.72
4.72,2.10,-0.4175,0.29,-0.28
1.72,1.00,1.1609,0.29,-0.78
-2.78,-0.30,-1.0025,0.79,-1.28
-4.28,-2.60,0.2414,-0.71,0.22
2.72,2.00,0.2038,0.79,0.72
-0.28,0.20,3.3924,-0.21,0.22
0.72,0.50,-0.5876,-0.21,0.72
-0.28,-0.10,-0.8658,0.79,0.72
-0.28,0.00,0.5067,-0.21,0.22
-2.28,-0.70,-0.1979,-0.21,0.72
-4.28,-1.90,-1.1024,-1.21,0.72
1.72,-2.00,-0.0346,-1.21,0.72
-6.78,-1.50,1.0978,-0.21,1.72
-0.28,1.70,-0.2455,-0.21,-0.28
5.72,2.90,-0.1221,-0.71,0.22
1.72,2.30,-0.1221,-0.21,1.72
-6.28,-0.40,-0.2160,0.29,0.72
3.72,1.50,0.7341,-0.21,0.72
-0.28,1.00,-0.3619,-0.71,0.72
-1.28,-0.50,0.1049,-0.21,-0.28
-0.28,1.30,-0.0637,-0.21,0.72
-0.28,-1.00,-0.1747,-1.21,1.72
-0.28,1.30,0.0654,-0.71,-0.28
-2.28,-0.40,1.5709,0.79,0.22
0.72,0.10,-0.5876,-0.71,-1.28
-2.28,-1.40,1.2295,-0.21,-0.28
-0.28,1.50,-0.3194,-0.71,-1.28
2.72,1.50,1.3930,0.29,1.22
-0.28,1.20,0.2414,0.29,0.22
3.72,0.60,-0.2748,-0.71,-1.28
-0.28,-1.10,-0.4038,-0.21,-2.28
-0.28,0.50,-1.6513,-0.21,-2.28
-0.28,0.00,-1.0956,-0.21,-0.28
1.22,-0.90,-0.9015,-0.21,-0.28
-4.28,-0.90,1.3342,-0.21,1.22
1.72,1.30,-0.0654,-0.21,0.22
-0.28,1.80,-0.0447,-0.71,-0.28
-3.28,-0.40,2.0684,-0.21,1.72
6.72,1.10,-0.1565,-0.71,0.72
-0.28,1.00,-0.4750,-0.71,0.72
0.72,0.10,0.8939,-0.71,-2.28
2.72,0.30,-0.6312,-1.21,-2.28
-5.78,-2.30,1.5818,-0.21,-1.28
1.22,2.00,-0.8658,-1.21,-0.28
2.72,1.50,0.3883,-0.71,-0.28
-11.78,-0.10,1.6321,-0.71,0.22
1.72,1.70,-0.0703,-0.21,-2.28
-2.28,-0.60,-0.7240,0.29,-0.28
-5.28,-1.90,0.0256,0.29,1.22
-1.28,-1.30,2.2012,0.79,1.72
1.72,0.30,0.0752,0.79,1.72
3.72,0.60,-1.1191,0.29,0.22
-2.28,-1.20,0.4459,0.79,0.22
-2.28,-1.00,-0.9904,-1.21,-0.28
3.72,2.50,1.0599,0.29,1.22
-4.28,-2.60,1.4928,0.29,1.22
-4.28,-2.50,0.4947,0.29,1.22
-6.28,-3.10,0.7197,0.29,-0.28
0.72,-0.20,-0.9117,-0.21,-1.78
1.22,0.50,0.5740,-0.21,-2.28
-8.28,-2.00,0.9913,-0.71,0.72
0.72,0.20,0.7861,0.79,0.22
-0.28,-0.40,-0.3459,0.79,-1.28
-6.28,-3.00,1.3983,0.29,0.72
3.22,1.40,0.4574,0.79,0.72
2.22,0.00,0.2038,0.79,0.72
3.72,0.20,-0.2160,0.29,0.22
1.72,0.10,0.0557,-0.21,0.22
0.72,-0.50,0.0954,0.29,-0.28
-0.28,0.00,-0.0044,0.29,0.22
3.72,1.90,-0.5182,0.79,0.72
-0.28,-0.50,-0.5317,0.79,0.72
-2.28,-2.90,0.9926,0.79,1.22
1.72,1.10,0.3711,0.79,0.72
1.72,-0.50,-0.2040,0.79,0.72
-0.28,-0.20,-1.4942,0.79,0.72
1.72,1.20,-0.7362,-0.21,0.72
-3.28,-1.10,-0.2999,-0.21,-0.28
-0.28,0.80,0.6309,0.79,0.72
-2.28,0.20,0.2509,0.79,0.72
0.72,0.70,0.8887,0.29,-1.78
3.72,0.20,0.4017,0.79,0.72
-0.28,-0.60,-0.9190,-0.71,-1.28
