ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,BinomialFledged
1,026-25476,1(2006-07),6-Dec-06,5:53,17:20,687,1,M,pre,A1Y,3,0.49,0.010723,0.000115,49,1.1,1.21,185,12.33,152.0616,18.5,1.2,1.44,11.02,0.9567,0.9154,2.5,0.39,0.1557,1.5,-0.61,0.3776,-0.358941,0.128839,1.03441,1.070004,0
2,026-25477,1(2006-07),7-Dec-06,5:53,17:30,697,0,F,pre,A1Y,3,0.47,-0.009277,0.000086,47,-0.9,0.81,181,8.33,69.411,18.1,0.8,0.64,9.96,-0.0988,0.0098,2,-0.11,0.0111,1.5,-0.61,0.3776,-0.446148,0.199048,-0.326757,0.10677,0
3,026-25477,3(2008-09),26-Mar-09,6:41,9:22,161,0,F,I,A1Y,5,0.48,0.000723,0.000001,48,0.1,0.01,177,4.33,18.7604,17.7,0.4,0.16,11.25,1.1881,1.4116,2,-0.11,0.0111,3.5,1.39,1.9197,0.707891,0.50111,1.156501,1.337495,0
5,026-25490,2(2007-08),6-Feb-08,6:25,7:12,47,0,F,pre,A1Y,4,0.44,-0.039277,0.001543,44,-3.9,15.21,153,-19.67,386.8568,15.3,-2,4,8.21,-1.8528,3.4328,1.5,-0.61,0.3665,4,1.89,3.5553,1.122502,1.26001,-1.660987,2.758877,0
6,026-25490,4(2009-10),31-Dec-09,5:04,6:14,70,0,F,pre,A1Y,6,0.41,-0.069277,0.004799,41,-6.9,47.61,142,-30.67,940.5676,14.2,-3.1,9.61,9.24,-0.8217,0.6752,1.5,-0.61,0.3665,2,-0.11,0.0131,2.050934,4.206332,-2.614078,6.833401,0
7,026-25491,3(2008-09),13-May-09,5:52,7:16,84,1,M,post,A1Y,5,0.47,-0.009277,0.000086,47,-0.9,0.81,180,7.33,53.7483,18,0.7,0.49,10.69,0.6287,0.3953,0,-2.11,4.4328,2,-0.11,0.0131,-0.57803,0.334119,-1.870098,3.497268,0
8,026-25512,1(2006-07),6-Dec-06,5:53,17:38,705,1,M,pre,A1Y,3,0.5,0.020723,0.000429,50,2.1,4.41,178,5.33,28.423,17.8,0.5,0.25,9.89,-0.1671,0.0279,1.5,-0.61,0.3665,1.5,-0.61,0.3776,-1.075205,1.156065,-0.594076,0.352926,0
9,026-25512,3(2008-09),27-Apr-09,5:47,6:30,43,1,M,N,A1Y,5,0.5,0.020723,0.000429,50,2.1,4.41,190,17.33,300.3748,19,1.7,2.89,10.72,0.6643,0.4412,2,-0.11,0.0111,1,-1.11,1.242,-1.208153,1.459634,0.399889,0.159911,1
10,026-25512,4(2009-10),29-Apr-10,5:48,10:43,295,1,M,post,A1Y,6,0.49,0.010723,0.000115,49,1.1,1.21,188,15.33,235.0495,18.8,1.5,2.25,11.05,0.9887,0.9776,2,-0.11,0.0111,1,-1.11,1.242,-0.785031,0.616274,0.390921,0.152819,1
12,026-25513,2(2007-08),5-Apr-08,5:43,7:21,98,0,F,I,A1Y,4,0.46,-0.019277,0.000372,46,-1.9,3.61,164,-8.67,75.1459,16.4,-0.9,0.81,10.81,0.7498,0.5622,3,0.89,0.8003,3.5,1.39,1.9197,1.782002,3.17553,1.442615,2.081137,1
