ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,NumberFledged
9,026-25512,3(2008-09),27-Apr-09,5:47,6:30,43,1,M,N,A1Y,5,0.5,0.020723,0.000429,50,2.1,4.41,190,17.33,300.3748,19,1.7,2.89,10.72,0.6643,0.4412,2,-0.11,0.0111,1,-1.11,1.242,-1.208153,1.459634,0.399889,0.159911,8
10,026-25512,4(2009-10),29-Apr-10,5:48,10:43,295,1,M,post,A1Y,6,0.49,0.010723,0.000115,49,1.1,1.21,188,15.33,235.0495,18.8,1.5,2.25,11.05,0.9887,0.9776,2,-0.11,0.0111,1,-1.11,1.242,-0.785031,0.616274,0.390921,0.152819,6
12,026-25513,2(2007-08),5-Apr-08,5:43,7:21,98,0,F,I,A1Y,4,0.46,-0.019277,0.000372,46,-1.9,3.61,164,-8.67,75.1459,16.4,-0.9,0.81,10.81,0.7498,0.5622,3,0.89,0.8003,3.5,1.39,1.9197,1.782002,3.17553,1.442615,2.081137,3
14,026-25513,3(2008-09),31-Dec-08,6:04,7:08,64,0,F,pre,A1Y,5,0.44,-0.039277,0.001543,44,-3.9,15.21,165,-7.67,58.8086,16.5,-0.8,0.64,9.67,-0.3909,0.1528,2,-0.11,0.0111,4,1.89,3.5553,1.421148,2.019661,-0.153299,0.023501,5
15,026-25515,2(2007-08),7-May-08,5:50,9:11,201,0,F,N,A1Y,4,0.48,0.000723,0.000001,48,0.1,0.01,167,-5.67,32.1339,16.7,-0.6,0.36,9.75,-0.3139,0.0986,2,-0.11,0.0111,2,-0.11,0.0131,0.026898,0.000724,-0.431157,0.185896,4
16,026-25517,3(2008-09),19-Feb-09,6:31,10:42,251,1,M,I,A1Y,5,0.52,0.040723,0.001658,52,4.1,16.81,191,18.33,336.0375,19.1,1.8,3.24,9.75,-0.3107,0.0965,1.5,-0.61,0.3665,2.5,0.39,0.1486,-1.793922,3.218156,0.297423,0.08846,7
18,026-25520,2(2007-08),30-Apr-08,5:48,9:22,214,1,M,N,A1Y,4,0.5,0.020723,0.000429,50,2.1,4.41,168,-4.67,21.7965,16.8,-0.5,0.25,10.1,0.0403,0.0016,2,-0.11,0.0111,3.5,1.39,1.9197,0.204962,0.042009,0.62845,0.394949,3
19,026-25520,3(2008-09),20-Jan-09,6:16,8:42,146,1,M,I,A1Y,5,0.5,0.020723,0.000429,50,2.1,4.41,182,9.33,87.0736,18.2,0.9,0.81,9.2,-0.8596,0.7389,2.5,0.39,0.1557,2.5,0.39,0.1486,-0.944888,0.892814,0.623962,0.389329,5
26,026-29130,1(2006-07),29-Nov-06,4:51,16:45,714,1,M,pre,A1Y,3,0.44,-0.039277,0.001543,44,-3.9,15.21,167,-5.67,32.1339,16.7,-0.6,0.36,9.48,-0.5776,0.3336,2.5,0.39,0.1557,2.5,0.39,0.1486,0.972509,0.945774,-0.304073,0.09246,6
27,026-29132,2(2007-08),5-Apr-08,5:43,8:48,185,0,F,I,A1Y,4,0.49,0.010723,0.000115,49,1.1,1.21,167,-5.67,32.1339,16.7,-0.6,0.36,10.58,0.5156,0.2658,3,0.89,0.8003,3.5,1.39,1.9197,0.978106,0.956691,1.756048,3.083704,2
