ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,NumberIndependent
9,026-25512,3(2008-09),27-Apr-09,5:47,6:30,43,1,N,A1Y,5,0.500,0.020723,0.000429,50.0,2.10,4.41,190,17.33,300.3748,19.0,1.70,2.8900,10.72,0.6643,0.4412,2.0,-0.11,0.0111,1.0,-1.11,1.2420,-1.208153,1.459634,0.399889,0.159911,5
10,026-25512,4(2009-10),29-Apr-10,5:48,10:43,295,1,post,A1Y,6,0.490,0.010723,0.000115,49.0,1.10,1.21,188,15.33,235.0495,18.8,1.50,2.2500,11.05,0.9887,0.9776,2.0,-0.11,0.0111,1.0,-1.11,1.2420,-0.785031,0.616274,0.390921,0.152819,0
12,026-25513,2(2007-08),05-Apr-08,5:43,7:21,98,0,I,A1Y,4,0.460,-0.019277,0.000372,46.0,-1.90,3.61,164,-8.67,75.1459,16.4,-0.90,0.8100,10.81,0.7498,0.5622,3.0,0.89,0.8003,3.5,1.39,1.9197,1.782002,3.175530,1.442615,2.081137,2
14,026-25513,3(2008-09),31-Dec-08,6:04,7:08,64,0,pre,A1Y,5,0.440,-0.039277,0.001543,44.0,-3.90,15.21,165,-7.67,58.8086,16.5,-0.80,0.6400,9.67,-0.3909,0.1528,2.0,-0.11,0.0111,4.0,1.89,3.5553,1.421148,2.019661,-0.153299,0.023501,1
15,026-25515,2(2007-08),07-May-08,5:50,9:11,201,0,N,A1Y,4,0.480,0.000723,0.000001,48.0,0.10,0.01,167,-5.67,32.1339,16.7,-0.60,0.3600,9.75,-0.3139,0.0986,2.0,-0.11,0.0111,2.0,-0.11,0.0131,0.026898,0.000724,-0.431157,0.185896,1
16,026-25517,3(2008-09),19-Feb-09,6:31,10:42,251,1,I,A1Y,5,0.520,0.040723,0.001658,52.0,4.10,16.81,191,18.33,336.0375,19.1,1.80,3.2400,9.75,-0.3107,0.0965,1.5,-0.61,0.3665,2.5,0.39,0.1486,-1.793922,3.218156,0.297423,0.088460,5
18,026-25520,2(2007-08),30-Apr-08,5:48,9:22,214,1,N,A1Y,4,0.500,0.020723,0.000429,50.0,2.10,4.41,168,-4.67,21.7965,16.8,-0.50,0.2500,10.10,0.0403,0.0016,2.0,-0.11,0.0111,3.5,1.39,1.9197,0.204962,0.042009,0.628450,0.394949,2
19,026-25520,3(2008-09),20-Jan-09,6:16,8:42,146,1,I,A1Y,5,0.500,0.020723,0.000429,50.0,2.10,4.41,182,9.33,87.0736,18.2,0.90,0.8100,9.20,-0.8596,0.7389,2.5,0.39,0.1557,2.5,0.39,0.1486,-0.944888,0.892814,0.623962,0.389329,1
26,026-29130,1(2006-07),29-Nov-06,4:51,16:45,714,1,pre,A1Y,3,0.440,-0.039277,0.001543,44.0,-3.90,15.21,167,-5.67,32.1339,16.7,-0.60,0.3600,9.48,-0.5776,0.3336,2.5,0.39,0.1557,2.5,0.39,0.1486,0.972509,0.945774,-0.304073,0.092460,0
27,026-29132,2(2007-08),05-Apr-08,5:43,8:48,185,0,I,A1Y,4,0.490,0.010723,0.000115,49.0,1.10,1.21,167,-5.67,32.1339,16.7,-0.60,0.3600,10.58,0.5156,0.2658,3.0,0.89,0.8003,3.5,1.39,1.9197,0.978106,0.956691,1.756048,3.083704,0
28,026-29135,1(2006-07),27-Jan-07,6:20,8:30,130,0,I,A1Y,3,0.480,0.000723,0.000001,48.0,0.10,0.01,160,-12.67,160.4953,16.0,-1.30,1.6900,10.58,0.5156,0.2658,2.0,-0.11,0.0111,2.0,-0.11,0.0131,0.708355,0.501767,-0.194759,0.037931,0
29,026-29136,1(2006-07),04-Dec-06,5:52,17:10,678,0,pre,A1Y,3,0.480,0.000723,0.000001,48.0,0.10,0.01,184,11.33,128.3989,18.4,1.10,1.2100,10.70,0.6426,0.4130,2.5,0.39,0.1557,2.0,-0.11,0.0131,-0.121825,0.014841,0.949742,0.902009,0
31,026-29138,3(2008-09),09-Apr-09,5:43,5:35,-8,0,N,A1Y,5,0.530,0.050723,0.002573,53.0,5.10,26.01,190,17.33,300.3748,19.0,1.70,2.8900,9.77,-0.2949,0.0870,1.0,-1.11,1.2220,2.5,0.39,0.1486,-2.094685,4.387707,-0.119799,0.014352,2
34,026-29138,4(2009-10),17-Feb-10,5:31,9:28,237,0,N,A1Y,6,0.550,0.070723,0.005002,55.0,7.10,50.41,207,34.33,1178.6399,20.7,3.40,11.5600,9.64,-0.4165,0.1735,1.5,-0.61,0.3665,2.5,0.39,0.1486,-3.108715,9.664106,0.977855,0.956201,5
36,026-29342,4(2009-10),04-Mar-10,5:36,9:55,259,1,N,A1Y,6,0.500,0.020723,0.000429,50.0,2.10,4.41,193,20.33,413.3628,19.3,2.00,4.0000,9.85,-0.2078,0.0432,2.0,-0.11,0.0111,2.0,-0.11,0.0131,-1.440837,2.076012,0.467500,0.218556,0
37,026-29349,1(2006-07),17-Feb-07,6:30,8:30,120,0,L,A1Y,3,0.490,0.010723,0.000115,49.0,1.10,1.21,175,2.33,5.4351,17.5,0.20,0.0400,10.23,0.1673,0.0280,3.0,0.89,0.8003,2.0,-0.11,0.0131,0.031020,0.000962,1.147877,1.317621,0
38,026-29349,3(2008-09),15-Apr-09,5:45,6:25,40,0,N,A1Y,5,0.480,0.000723,0.000001,48.0,0.10,0.01,187,14.33,205.3869,18.7,1.40,1.9600,9.79,-0.2721,0.0740,2.0,-0.11,0.0111,1.0,-1.11,1.2420,-1.122493,1.259991,-0.360184,0.129733,7
40,026-29354,2(2007-08),06-May-08,5:50,9:10,200,0,N,A1Y,4,0.520,0.040723,0.001658,52.0,4.10,16.81,182,9.33,87.0736,18.2,0.90,0.8100,11.21,1.1517,1.3265,2.0,-0.11,0.0111,2.0,-0.11,0.0131,-0.722449,0.521933,1.103469,1.217644,2
42,026-29363,3(2008-09),24-Feb-09,6:33,9:00,147,1,N,A1Y,5,0.520,0.040723,0.001658,52.0,4.10,16.81,185,12.33,152.0616,18.5,1.20,1.4400,9.98,-0.0759,0.0058,1.5,-0.61,0.3665,2.0,-0.11,0.0131,-1.571637,2.470042,0.060848,0.003703,0
46,026-29455,1(2006-07),07-Dec-06,5:53,17:30,697,1,pre,A1Y,2,0.480,0.000723,0.000001,48.0,0.10,0.01,182,9.33,87.0736,18.2,0.90,0.8100,10.48,0.4206,0.1769,3.0,0.89,0.8003,2.5,0.39,0.1486,0.174583,0.030479,1.524927,2.325403,0
47,026-29455,2(2007-08),05-Mar-08,6:36,7:50,74,1,L,A1Y,3,0.490,0.010723,0.000115,49.0,1.10,1.21,180,7.33,53.7483,18.0,0.70,0.4900,8.71,-1.3452,1.8097,2.0,-0.11,0.0111,0.0,-2.11,4.4709,-1.783250,3.179982,-1.342383,1.801993,0
48,026-29455,3(2008-09),09-Mar-09,6:37,7:26,49,1,I,A1Y,4,0.530,0.050723,0.002573,53.0,5.10,26.01,208,35.33,1248.3025,20.8,3.50,12.2500,9.58,-0.4778,0.2283,1.5,-0.61,0.3665,1.5,-0.61,0.3776,-3.095376,9.581355,0.315843,0.099757,5
49,026-29456,1(2006-07),01-Dec-06,5:52,17:00,668,1,pre,A1Y,2,0.480,0.000723,0.000001,48.0,0.10,0.01,166,-6.67,44.4712,16.6,-0.70,0.4900,10.39,0.3275,0.1073,2.5,0.39,0.1557,3.0,0.89,0.7842,0.816450,0.666590,0.793695,0.629952,0
